250012,2401,Pale Rider
24314823,505,North
2723037,2855,Nightmare
1480747,470,House Party 2
683122,2018,Bambi
12234915,3171,Zoom at the Top
13210849,2896,Alvarez Kelly
9457642,31083,Man Trouble
10877732,5112,Last Orders
12695008,57949,"Welcome Home, Roscoe Jenkins"
8219325,60126,Get Smart
62688,929,Foreign Correspondent
468356,6881,Pieces of April
7012138,3495,Roadside Prophets
570743,4153,Down to Earth
504242,34405,Serenity
129295,3101,Fatal Attraction
5520992,448,Fearless
13289421,5337,Delirious
34961787,4655,Romeo
256337,6503,Charlie's Angels: Full Throttle
11796087,1316,Anna
11625324,4132,Mannequin
163491,2238,Seven Beauties
8987889,54745,Rocket Science
10920719,4741,Together
6701473,1636,Star
4026639,1316,Aina
19236804,4274,Cleopatra
14811318,6839,All I Want
7792664,5061,Mrs. Soffel
9088886,5128,Queen of the Damned
6581470,3131,Broadway Damage
10010910,5627,Skin
3511253,2380,Police Academy 3: Back in Training
175079,6453,Man of Aran
18164108,2341,Dancing at Lughnasa
670013,37830,Final Fantasy VII: Advent Children
7024876,6732,Hello Dolly!
183828,5434,"Sorry, Wrong Number"
20700559,277,Miracle on 34th Street
27388121,6259,My Friend Flicka
5283066,8746,King of the Ants
221489,1190,Tie Me Up! Tie Me Down!
9906067,3165,Boiling Point
1966655,2278,Gonin
9104173,8610,All of Me
33581371,7408,Jack and the Beanstalk
11161265,60405,Games
2649865,6522,Man's Favorite Sport?
2080306,227,Drop Zone
2002258,1985,Halloween 4: The Return of Michael Myers
25081936,6661,Me & Isaac Newton
1481638,2851,Saturn 3
16855103,2225,Easy Virtue
1598832,3399,Sesame Street presents Follow That Bird
2261407,30803,3-Iron
8719979,30981,Wetherby
3158499,8593,Juice
918886,5789,All the Queen's Men
9091892,3910,Dancers in the Dark
1660834,142,Shadow
19301429,27513,Dog Days
30280518,2824,On the Ropes
1471831,2859,Stop Making Sense
12509757,5127,Dragonfly
6987479,7818,School for Scoundrels
2292864,174,Jury Duty
74871,942,Laura
154635,307,Three Colors: Blue
31443320,5962,Body of Evidence
685987,4623,Major League
8499528,3392,She-Devil
1663320,43930,Just My Luck
3832242,7176,Crimson Gold
19152358,7289,"Silent Night, Bloody Night"
6809382,1355,Nightwatch
35928801,662,Fear
18029681,4296,Love Story
4605171,6625,Camp Nowhere
1134154,495,In the Realm of the Senses
3767179,274,Man of the House
3327607,25885,Prelude to War
8695,750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
24889160,6960,Marquis
14291637,57951,Fool's Gold
45606,7771,Zorba the Greek
275547,1487,Selena
2430019,7330,Tokyo Joe
9340076,1383,Adrenalin: Fear the Rush
25495137,7142,Money
7725707,59256,Deception
1380482,6249,Boat Trip
1367110,8757,Lovers and Other Strangers
12585204,7271,Just Between Friends
26396405,3008,Last Light
1488066,2025,Lolita
142443,1357,Shine
8964541,206,Unzipped
43307,5479,K-19: The Widowmaker
366111,4890,Shallow Hal
1249019,26629,Killer Klowns from Outer Space
3619129,5947,Evelyn
7421446,238,Far From Home: The Adventures of Yellow Dog
6449600,5341,Kenny
445066,2985,RoboCop
4788925,40952,Bee Season
46505,2791,Airplane!
23758269,7104,1921
8181039,3901,Duet
1431534,1217,Ryan
706860,1449,Waiting for Guffman
5431194,65025,Double Dynamite
992455,3459,Gothic
15349267,2534,Avalanche
770083,7083,Sweet Dreams
3347962,2041,Condorman
1686679,43899,Tony Takitani
8850105,50802,Because I Said So
2651593,43333,Water
30854972,2373,Red Sonja
4825726,50347,Rosario Tijeras
3988444,1676,Starship Troopers
19090521,6018,Kira's Reason: A Love Story
28817360,3345,"Charlie, the Lonesome Cougar"
1647985,7135,Shoot the Piano Player
13572405,8291,Ten Little Indians
36088550,4454,Lore
32424995,3960,Haunted
2100492,2822,Medicine Man
161452,8094,Bad Day at Black Rock
13810029,273,Frankenstein
4184054,3668,Romeo and Juliet
113454,3685,Prizzi's Honor
32255889,2339,I'll Be Home for Christmas
1479185,3759,Fun and Fancy Free
5955514,809,Fled
3727473,7445,Man on Fire
680361,1088,Dirty Dancing
19787914,1717,Scream 4
190405,1688,Anastasia
12230535,5976,Where Sleeping Dogs Lie
8801409,8895,AvA
14288728,4798,Indiscreet
20135224,26242,Fuel
33449688,23,Assassin
165106,6970,Desk Set
21373881,7026,Summer School
619956,1707,Home Alone 4
3710183,31101,Stander
24267235,1605,Excess Baggage
2539874,26142,Major Dundee
22380174,2797,Beg
35004777,2678,Desert Blues
142457,1617,L.A. Confidential
17611985,63698,Three Monkeys
32188620,69,Friday
10915095,6319,My Father the Hero
1815818,2972,Red Sorghum
3470692,51678,Julius Caesar
92582,948,Giant
31859893,53131,Risen
4515396,48522,Stormbreaker
32376025,289,Only You
33041654,2176,Dope
12093161,7069,Macbeth
607444,7444,13 Going on 30
1380313,2249,My Blue Heaven
9009812,4793,Montenegro
1937840,8945,Thérèse
24412976,23,Assassin
30204919,6766,Camera Obscura
2509885,4494,Critters 4
1345561,974,Algiers
2941852,4104,Ernest Goes to Camp
3339200,25795,Dinner at Eight
2509859,4493,Critters 2: The Main Course
1199638,2988,Melvin and Howard
6446044,2989,For Your Eyes Only
3924766,6654,Atragon
16958933,3587,Inferno
365039,1894,Six Days Seven Nights
438548,65133,Blackadder: Back & Forth
3662683,1169,American Dreamz
1353277,6225,King of Kings
34350097,26303,Sister
11448113,5874,Friday After Next
4515733,4106,Extreme Prejudice
18850187,26359,1920
1345984,26,Othello
31783951,34063,Gambit
2296056,34332,Sky High
31972917,3193,Creature
999394,45722,Pirates of the Caribbean: Dead Man's Chest
4110795,53143,Fay Grim
3984733,32056,Bopha!
226198,539,Sleepless in Seattle
2795282,3937,Runaway
13375877,4515,Imagine: John Lennon
11455154,55069,"4 Months, 3 Weeks and 2 Days"
7081414,56508,Starting Out in the Evening
944471,2084,Newsies
9219835,8275,College
102026,1042,That Thing You Do!
7771844,3872,"Suddenly, Last Summer"
21106078,1260,8
703687,5015,Monster's Ball
28000552,48682,Offside
5534117,51304,Karma
971217,736,Twisted
35137171,52885,Paprika
13281178,4559,Vice Versa
4054638,8895,AKA
22438706,7809,Ambush
1032643,2552,My Boyfriend's Back
10377382,50151,Home of the Brave
476640,710,Celtic Pride
18555435,56060,I Served the King of England
14760799,1019,"30,000 Leagues Under the Sea"
2043990,743,Spy Hard
545187,1515,Volcano
26728194,6715,Children of the Night
16639345,8779,Bon Voyage
3654133,31588,Casque d'or
492540,703,Toys
4186478,5183,He Knows You're Alone
8204853,52606,Big Nothing
277710,4228,Heartbreakers
7658324,5798,Escanaba in da Moonlight
909664,268,Little Odessa
14582455,958,Lady of Burlesque
3597370,48567,Dillinger
4123241,5408,Nola
146947,5349,Spider-Man
22751,4699,Original Sin
1539559,3587,Inferno
12502952,892,Twelfth Night
2847874,27865,Azumi
33654575,2252,Zero
27504596,26562,White Night
441280,3997,Dungeons & Dragons
23658166,2187,Stage Fright
2279610,906,Gaslight
2537750,3470,Dersu Uzala
10466696,57792,Caramel
11351598,6924,Sherlock Holmes Faces Death
5778040,56167,Om Shanti Om
12665133,375,Safe Passage
12835046,32318,Virginia's Run
1941762,31040,Distant Thunder
2448736,4950,Lone Wolf McQuade
1608019,8765,This Gun for Hire
28439357,7019,Project X
4874236,34526,Secuestro express
734419,4454,More
9169267,4070,Amu
19440246,6270,Dreams
33842844,1153,Raw Deal
18535585,1584,Contract
28722503,6058,Final Destination 5
76399,3739,Trouble in Paradise
1862671,26681,Bullet in the Head
4940876,5636,Welcome to Collinwood
15325120,5899,Lulu
21875134,4852,Bone
22558707,7245,Tormented
19366458,4070,Amy
5824039,8605,Taxi 4
1749093,2687,Tarzan
1251513,101,Bottle Rocket
12267883,57464,He Was a Quiet Man
32864668,6041,Amen
2045991,27,Now and Then
4851596,2929,Red
20286230,2148,House
1638112,3736,Ace in the Hole
4191487,43744,Imagine Me & You
652432,7019,Project A
314406,7895,Bring Me the Head of Alfredo Garcia
2243660,26465,D.C. Cab
2417064,3783,Croupier
61501,945,Top Hat
6832529,26792,Sidekicks
24036824,61248,Death Rage
2352505,4852,Bones
2772142,52865,Diggers
6085266,667,Bloodsport 2
2370658,5859,Southern Comfort
1724708,7928,After the Rehearsal
8969928,7614,Oklahoma
19701,1136,Monty Python and the Holy Grail
35789374,3709,Sleepwalker
19910557,3087,Scrooge
5558650,4724,On the Edge
532618,4388,Scary Movie 2
2134506,2305,Slim
3374650,5300,3:10 to Yuma
22084176,4977,Kandahar
6976850,3593,Battlefield Earth
12240357,55071,No End in Sight
920613,45517,Cars
17430659,7305,Black Widow
6583033,49280,Bobby
2513887,8256,Queen Christina
28324049,142,Shadows
4179778,2350,Heart Condition
2037403,2755,Light of Day
60164,953,It's a Wonderful Life
26730444,4655,Romeoo
3869472,832,Ransom!
32115539,7484,Gimme Shelter
9075272,4459,Alaska: Spirit of the Wild
10356606,8833,Vanity Fair
2200771,1070,Macao
7330661,49282,Deck the Halls
10061978,62374,Body of Lies
1356982,7,Sabrina
3934285,3489,Hoot
1073955,1621,Soul Food
10385898,7098,Seven Days to Noon
3920193,55820,No Country for Old Men
4143719,472,I'll Do Anything
541642,7570,Octopussy
9167153,4281,Mandy
2082089,3721,Trixie
4277856,3954,Just Looking
31136,2693,Trekkies
33498712,5500,Top Secret
17437489,6198,American Heart
350629,4713,Altered States
4018828,45208,RV
15313487,1851,Leather Jacket Love Story
320502,4055,Panic
20472949,97,Fate
320500,5485,Tadpole
9822793,3430,Death Wish
